,start,length,peak,mean_tmax,year
126,2017-06-16,5,40.98226250000002,39.19721000000002,2017
127,2017-10-01,7,31.995812500000014,31.561107500000023,2017
128,2017-10-11,6,33.61077500000003,31.244038750000026,2017
129,2017-10-26,3,27.794885000000036,27.575179166666697,2017
130,2017-12-28,3,18.256765000000016,18.138713333333353,2017
131,2018-08-02,5,40.388272500000014,39.08072700000002,2018
132,2018-09-21,6,35.99484000000001,34.728322500000026,2018
133,2019-02-22,5,20.992912500000017,20.681817500000026,2019
134,2019-05-11,5,35.316062500000015,33.30498250000002,2019
135,2019-12-24,5,19.363670000000027,18.235241500000022,2019
136,2020-02-01,5,20.620755000000017,19.82871250000002,2020
137,2020-05-22,3,34.329770000000025,33.476415000000024,2020
138,2020-11-18,4,22.711757500000033,22.107308125000028,2020
139,2021-10-18,3,28.429620361328148,28.10663248697919,2021
140,2021-12-12,3,19.107049560546898,18.41645711263023,2021
141,2021-12-26,3,18.925439453125023,18.204817708333355,2021
142,2022-01-28,3,18.547662353515648,18.163547770182316,2022
143,2022-05-19,3,35.20217285156252,33.81783447265627,2022
144,2022-06-09,5,37.9851013183594,36.644989013671896,2022
145,2022-07-12,5,39.77703247070315,39.03887939453127,2022
146,2022-07-23,3,38.78072509765627,38.667413330078126,2022
147,2022-10-26,4,28.990502929687523,27.164170837402366,2022
148,2022-12-11,4,20.440637207031273,19.99075469970704,2022
149,2022-12-25,3,19.580285644531273,19.031274414062523,2022
150,2023-02-18,4,20.984765625000023,20.729821777343744,2023
151,2023-03-25,6,26.231347656250023,25.370502726237003,2023
152,2023-04-15,4,27.677941894531273,27.295922851562523,2023
153,2023-04-24,6,32.01262817382815,30.37561442057294,2023
154,2023-06-24,3,39.5112243652344,38.87797444661461,2023
155,2023-08-20,6,38.533532714843716,37.603845214843766,2023
156,2023-09-28,12,33.81685791015627,32.38425852457684,2023
157,2023-11-13,3,23.410119628906273,22.782790120442712,2023
158,2023-11-17,3,22.152307128906273,21.855442301432316,2023
159,2024-01-14,5,17.773950195312523,17.377697753906272,2024
160,2024-01-23,5,20.550378417968773,19.102856445312522,2024
161,2024-04-13,5,28.031152343750023,27.027886962890648,2024
162,2024-11-23,3,20.695062255859398,20.125522867838544,2024
163,2025-05-27,5,37.1861511230469,35.6479248046875,2025
164,2025-06-27,6,40.2064147949219,38.637251790364594,2025
165,2025-08-11,7,39.4719177246094,38.69354073660717,2025
166,2025-09-17,3,33.691247558593716,33.22871297200521,2025
