valid_time,year,month,precip_3mo_raw,spi3_raw,precip_3mo_corrected,spi3_corrected
2033-03-01,2033,3,26.318687920319533,-2.0548237474032036,48.84647316979293,-1.3846968175784715
2033-04-01,2033,4,69.73906920855947,-1.4595936507139657,94.94023187745378,-0.8812450480495072
2033-05-01,2033,5,58.35564739922751,-1.8131313293577727,67.92601210188224,-1.514960729438801
2033-06-01,2033,6,85.62586067711169,-0.04434867641593034,54.68354239405261,-0.9201987219195085
2033-07-01,2033,7,42.01397994842338,0.24892739078295564,7.567554657844247,-1.2378736199545608
2033-08-01,2033,8,39.895824576034755,1.720441015596255,6.306945226648034,-0.181551456112205
2033-09-01,2033,9,20.424356218386013,-0.320537645478634,72.37836090201178,1.2094363038518496
2033-10-01,2033,10,33.11851881072714,-1.449330349610834,107.96911788711722,0.2923375391725587
2033-11-01,2033,11,74.14894123439993,-1.2231807588124868,175.15679261640952,0.317017290233883
2033-12-01,2033,12,64.62952251187916,-1.7121636013538177,131.28594254742188,-0.6458233256688227
2034-01-01,2034,1,64.30098496376826,-1.069906086259333,126.36749756864215,-0.31343443800630133
2034-02-01,2034,2,39.26919216021436,-1.3447168409684216,92.28084767822271,-0.5287532453738767
2034-03-01,2034,3,43.784247907776944,-1.5110134196542002,86.30317191306715,-0.6625312351986596
2034-04-01,2034,4,89.77590980234594,-0.9900918883756994,128.9948757847652,-0.25000300198247133
2034-05-01,2034,5,83.29022315627864,-1.0932037486479282,103.90942043265855,-0.6052382373656843
2034-06-01,2034,6,75.75875180211452,-0.29595778653415455,82.17017335161673,-0.13012548540259403
2034-07-01,2034,7,17.003530025553374,-0.6228859722234881,8.766363989816746,-1.13507957049297
2034-08-01,2034,8,8.349619712448824,0.037909162646107115,1.171972372051453,-1.2068488767151095
2034-09-01,2034,9,8.355918428466547,-1.0945696915689052,15.205166847469002,-0.5973223636127465
2034-10-01,2034,10,16.63864570057124,-2.229004806678274,36.30798153017856,-1.3343618989881034
2034-11-01,2034,11,73.88982016760019,-1.228665389235296,131.5695956986301,-0.24269029950403706
2034-12-01,2034,12,84.76204400188479,-1.329322906459629,160.53018923583696,-0.30005437551601455
2035-01-01,2035,1,307.3720861241375,0.9592233786540344,566.71239563475,2.099717089375206
2035-02-01,2035,2,249.56671388872724,0.7226529514142072,471.2111922702744,1.7789599338494941
2035-03-01,2035,3,259.6047067038522,1.1548552248970743,469.02316111113373,2.465704615871071
2035-04-01,2035,4,39.11798319319931,-2.416617137967715,51.41681419278484,-1.9827561768952795
2035-05-01,2035,5,39.978925088232614,-2.5031503083782063,51.69095550796103,-2.042202900678948
2035-06-01,2035,6,13.92918208441731,-2.99275793650808,10.37187589063852,-3.355211874357934
2035-07-01,2035,7,3.220466683603825,-1.7742480202647242,0.6629347756538707,-2.572878607256468
2035-08-01,2035,8,1.9222522060423242,-0.9461647462498338,0.19222522060423236,-1.9836167774110998
2035-09-01,2035,9,13.57474800137405,-0.6977060777220336,41.8768668423253,0.46713868845829926
2035-10-01,2035,10,16.203681107212034,-2.256488569367149,48.24885062579116,-0.9597580969733424
2035-11-01,2035,11,61.411515867648056,-1.5108538481324707,123.10235465925274,-0.36551685224054953
2035-12-01,2035,12,133.79414791209126,-0.6141981867158546,295.46026578668676,0.8989609412179509
2036-01-01,2036,1,178.36538909816596,0.13600183363406546,384.088874615485,1.3446803821914368
2036-02-01,2036,2,145.5208016983377,-0.0052243937470524806,334.01568681777957,1.1764411476689578
2036-03-01,2036,3,70.83555377036355,-0.9264625782103394,138.18220501733512,0.03434364410881709
2036-04-01,2036,4,29.928945882226518,-2.8131732450695504,48.37207143728395,-2.0823655873580837
2036-05-01,2036,5,61.53854083732635,-1.7103305892653977,75.53344482598364,-1.298584267617044
2036-06-01,2036,6,66.58039437947274,-0.5508724019107623,58.87518370250002,-0.7842375715309031
2036-07-01,2036,7,60.52048020081637,0.6781331370654918,53.708089892799045,0.5317893862480504
2036-08-01,2036,8,18.071481341906022,0.7528125639281854,2.219681868860626,-0.8650082889549555
2036-09-01,2036,9,26.305721096274297,-0.06311838367321355,94.11513203266256,1.6221629060419547
2036-10-01,2036,10,67.13696521111206,-0.4838691674440216,205.74643657358644,1.5675146009503846
2036-11-01,2036,11,138.26291221818315,-0.14934693672546834,323.2636281359579,1.7177570946353036
2036-12-01,2036,12,157.85900072727185,-0.3297466288111989,341.3680978564064,1.22163254591208
2037-01-01,2037,1,122.15915941997257,-0.3550371397668365,244.03349039259203,0.5912460843770649
2037-02-01,2037,2,63.44791205911247,-0.9096954149076423,152.8654372498427,0.055953092465823334
